#FieldID	Field	Category	UKBCategoryTreePath
132068	Date N37 first reported (urethral disorders in diseases classified elsewhere)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132069	Source of report of N37 (urethral disorders in diseases classified elsewhere)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132070	Date N39 first reported (other disorders of urinary system)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132071	Source of report of N39 (other disorders of urinary system)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132072	Date N40 first reported (hyperplasia of prostate)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132073	Source of report of N40 (hyperplasia of prostate)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132074	Date N41 first reported (inflammatory diseases of prostate)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132075	Source of report of N41 (inflammatory diseases of prostate)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132076	Date N42 first reported (other disorders of prostate)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132077	Source of report of N42 (other disorders of prostate)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132078	Date N43 first reported (hydrocele and spermatocele)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132079	Source of report of N43 (hydrocele and spermatocele)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132080	Date N44 first reported (torsion of testis)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132081	Source of report of N44 (torsion of testis)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132082	Date N45 first reported (orchitis and epididymitis)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132083	Source of report of N45 (orchitis and epididymitis)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132084	Date N46 first reported (male infertility)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132085	Source of report of N46 (male infertility)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132086	Date N47 first reported (redundant prepuce, phimosis and paraphimosis)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132087	Source of report of N47 (redundant prepuce, phimosis and paraphimosis)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132088	Date N48 first reported (other disorders of penis)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132089	Source of report of N48 (other disorders of penis)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132090	Date N49 first reported (inflammatory disorders of male genital organs, not elsewhere classified)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132091	Source of report of N49 (inflammatory disorders of male genital organs, not elsewhere classified)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132092	Date N50 first reported (other disorders of male genital organs)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132093	Source of report of N50 (other disorders of male genital organs)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132094	Date N51 first reported (disorders of male genital organs in diseases classified elsewhere)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132095	Source of report of N51 (disorders of male genital organs in diseases classified elsewhere)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132096	Date N60 first reported (benign mammary dysplasia)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132097	Source of report of N60 (benign mammary dysplasia)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132098	Date N61 first reported (inflammatory disorders of breast)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132099	Source of report of N61 (inflammatory disorders of breast)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132100	Date N62 first reported (hypertrophy of breast)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132101	Source of report of N62 (hypertrophy of breast)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132102	Date N63 first reported (unspecified lump in breast)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132103	Source of report of N63 (unspecified lump in breast)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132104	Date N64 first reported (other disorders of breast)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132105	Source of report of N64 (other disorders of breast)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132106	Date N70 first reported (salpingitis and oophoritis)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132107	Source of report of N70 (salpingitis and oophoritis)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132108	Date N71 first reported (inflammatory disease of uterus, except cervix)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132109	Source of report of N71 (inflammatory disease of uterus, except cervix)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132110	Date N72 first reported (inflammatory disease of cervix uteri)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132111	Source of report of N72 (inflammatory disease of cervix uteri)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132112	Date N73 first reported (other female pelvic inflammatory diseases)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132113	Source of report of N73 (other female pelvic inflammatory diseases)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132114	Date N74 first reported (female pelvic inflammatory disorders in diseases classified elsewhere)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132115	Source of report of N74 (female pelvic inflammatory disorders in diseases classified elsewhere)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132116	Date N75 first reported (diseases of bartholin's gland)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132117	Source of report of N75 (diseases of bartholin's gland)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132118	Date N76 first reported (other inflammation of vagina and vulva)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132119	Source of report of N76 (other inflammation of vagina and vulva)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132120	Date N77 first reported (vulvovaginal ulceration and inflammation in diseases classified elsewhere)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132121	Source of report of N77 (vulvovaginal ulceration and inflammation in diseases classified elsewhere)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132122	Date N80 first reported (endometriosis)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132123	Source of report of N80 (endometriosis)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132124	Date N81 first reported (female genital prolapse)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132125	Source of report of N81 (female genital prolapse)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132126	Date N82 first reported (fistulae involving female genital tract)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132127	Source of report of N82 (fistulae involving female genital tract)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132128	Date N83 first reported (noninflammatory disorders of ovary, fallopian tube and broad ligament)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132129	Source of report of N83 (noninflammatory disorders of ovary, fallopian tube and broad ligament)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132130	Date N84 first reported (polyp of female genital tract)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132131	Source of report of N84 (polyp of female genital tract)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132132	Date N85 first reported (other noninflammatory disorders of uterus, except cervix)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132133	Source of report of N85 (other noninflammatory disorders of uterus, except cervix)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132134	Date N86 first reported (erosion and ectropion of cervix uteri)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132135	Source of report of N86 (erosion and ectropion of cervix uteri)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132136	Date N87 first reported (dysplasia of cervix uteri)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132137	Source of report of N87 (dysplasia of cervix uteri)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132138	Date N88 first reported (other noninflammatory disorders of cervix uteri)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132139	Source of report of N88 (other noninflammatory disorders of cervix uteri)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132140	Date N89 first reported (other noninflammatory disorders of vagina)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132141	Source of report of N89 (other noninflammatory disorders of vagina)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132142	Date N90 first reported (other noninflammatory disorders of vulva and perineum)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132143	Source of report of N90 (other noninflammatory disorders of vulva and perineum)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132144	Date N91 first reported (absent, scanty and rare menstruation)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132145	Source of report of N91 (absent, scanty and rare menstruation)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132146	Date N92 first reported (excessive, frequent and irregular menstruation)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132147	Source of report of N92 (excessive, frequent and irregular menstruation)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132148	Date N93 first reported (other abnormal uterine and vaginal bleeding)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132149	Source of report of N93 (other abnormal uterine and vaginal bleeding)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132150	Date N94 first reported (pain and other conditions associated with female genital organs and menstrual cycle)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132151	Source of report of N94 (pain and other conditions associated with female genital organs and menstrual cycle)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132152	Date N95 first reported (menopausal and other perimenopausal disorders)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132153	Source of report of N95 (menopausal and other perimenopausal disorders)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132154	Date N96 first reported (habitual aborter)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132155	Source of report of N96 (habitual aborter)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132156	Date N97 first reported (female infertility)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132157	Source of report of N97 (female infertility)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132158	Date N98 first reported (complications associated with artificial fertilisation)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132159	Source of report of N98 (complications associated with artificial fertilisation)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132160	Date N99 first reported (postprocedural disorders of genito-urinary system, not elsewhere classified)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132161	Source of report of N99 (postprocedural disorders of genito-urinary system, not elsewhere classified)	First occurrences	Health-related outcomes > First occurrences > Genitourinary system disorders
132162	Date O00 first reported (ectopic pregnancy)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132163	Source of report of O00 (ectopic pregnancy)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132164	Date O01 first reported (hydatidiform mole)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132165	Source of report of O01 (hydatidiform mole)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132166	Date O02 first reported (other abnormal products of conception)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132167	Source of report of O02 (other abnormal products of conception)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132168	Date O03 first reported (spontaneous abortion)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132169	Source of report of O03 (spontaneous abortion)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132170	Date O04 first reported (medical abortion)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132171	Source of report of O04 (medical abortion)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132172	Date O05 first reported (other abortion)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132173	Source of report of O05 (other abortion)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132174	Date O06 first reported (unspecified abortion)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132175	Source of report of O06 (unspecified abortion)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132176	Date O07 first reported (failed attempted abortion)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132177	Source of report of O07 (failed attempted abortion)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132178	Date O08 first reported (complications following abortion and ectopic and molar pregnancy)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132179	Source of report of O08 (complications following abortion and ectopic and molar pregnancy)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132180	Date O10 first reported (pre-existing hypertension complicating pregnancy, childbirth and the puerperium)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132181	Source of report of O10 (pre-existing hypertension complicating pregnancy, childbirth and the puerperium)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132182	Date O11 first reported (pre-existing hypertensive disorder with superimposed proteinuria)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132183	Source of report of O11 (pre-existing hypertensive disorder with superimposed proteinuria)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132184	Date O12 first reported (gestational [pregnancy-induced] oedema and proteinuria without hypertension)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132185	Source of report of O12 (gestational [pregnancy-induced] oedema and proteinuria without hypertension)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132186	Date O13 first reported (gestational [pregnancy-induced] hypertension without significant proteinuria)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132187	Source of report of O13 (gestational [pregnancy-induced] hypertension without significant proteinuria)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132188	Date O14 first reported (gestational [pregnancy-induced] hypertension with significant proteinuria)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132189	Source of report of O14 (gestational [pregnancy-induced] hypertension with significant proteinuria)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132190	Date O15 first reported (eclampsia)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132191	Source of report of O15 (eclampsia)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132192	Date O16 first reported (unspecified maternal hypertension)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132193	Source of report of O16 (unspecified maternal hypertension)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132194	Date O20 first reported (haemorrhage in early pregnancy)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132195	Source of report of O20 (haemorrhage in early pregnancy)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132196	Date O21 first reported (excessive vomiting in pregnancy)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132197	Source of report of O21 (excessive vomiting in pregnancy)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132198	Date O22 first reported (venous complications in pregnancy)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132199	Source of report of O22 (venous complications in pregnancy)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132200	Date O23 first reported (infections of genito-urinary tract in pregnancy)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132201	Source of report of O23 (infections of genito-urinary tract in pregnancy)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132202	Date O24 first reported (diabetes mellitus in pregnancy)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132203	Source of report of O24 (diabetes mellitus in pregnancy)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132204	Date O25 first reported (malnutrition in pregnancy)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132205	Source of report of O25 (malnutrition in pregnancy)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132206	Date O26 first reported (maternal care for other conditions predominantly related to pregnancy)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132207	Source of report of O26 (maternal care for other conditions predominantly related to pregnancy)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132208	Date O28 first reported (abnormal findings on antenatal screening of mother)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132209	Source of report of O28 (abnormal findings on antenatal screening of mother)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132210	Date O29 first reported (complications of anaesthesia during pregnancy)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132211	Source of report of O29 (complications of anaesthesia during pregnancy)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132212	Date O30 first reported (multiple gestation)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132213	Source of report of O30 (multiple gestation)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132214	Date O31 first reported (complications specific to multiple gestation)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132215	Source of report of O31 (complications specific to multiple gestation)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132216	Date O32 first reported (maternal care for known or suspected malpresentation of foetus)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132217	Source of report of O32 (maternal care for known or suspected malpresentation of foetus)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132218	Date O33 first reported (maternal care for known or suspected disproportion)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132219	Source of report of O33 (maternal care for known or suspected disproportion)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132220	Date O34 first reported (maternal care for known or suspected abnormality of pelvic organs)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132221	Source of report of O34 (maternal care for known or suspected abnormality of pelvic organs)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132222	Date O35 first reported (maternal care for known or suspected foetal abnormality and damage)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132223	Source of report of O35 (maternal care for known or suspected foetal abnormality and damage)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132224	Date O36 first reported (maternal care for other known or suspected foetal problems)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132225	Source of report of O36 (maternal care for other known or suspected foetal problems)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132226	Date O40 first reported (polyhydramnios)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132227	Source of report of O40 (polyhydramnios)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132228	Date O41 first reported (other disorders of amniotic fluid and membranes)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132229	Source of report of O41 (other disorders of amniotic fluid and membranes)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132230	Date O42 first reported (premature rupture of membranes)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132231	Source of report of O42 (premature rupture of membranes)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132232	Date O43 first reported (placental disorders)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132233	Source of report of O43 (placental disorders)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132234	Date O44 first reported (placenta praevia)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132235	Source of report of O44 (placenta praevia)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132236	Date O45 first reported (premature separation of placenta [abruptio placentae])	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132237	Source of report of O45 (premature separation of placenta [abruptio placentae])	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132238	Date O46 first reported (antepartum haemorrhage, not elsewhere classified)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132239	Source of report of O46 (antepartum haemorrhage, not elsewhere classified)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132240	Date O47 first reported (false labour)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132241	Source of report of O47 (false labour)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132242	Date O48 first reported (prolonged pregnancy)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132243	Source of report of O48 (prolonged pregnancy)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132244	Date O60 first reported (preterm delivery)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132245	Source of report of O60 (preterm delivery)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132246	Date O61 first reported (failed induction of labour)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132247	Source of report of O61 (failed induction of labour)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132248	Date O62 first reported (abnormalities of forces of labour)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132249	Source of report of O62 (abnormalities of forces of labour)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132250	Date O63 first reported (long labour)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132251	Source of report of O63 (long labour)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132252	Date O64 first reported (obstructed labour due to malposition and malpresentation of foetus)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132253	Source of report of O64 (obstructed labour due to malposition and malpresentation of foetus)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132254	Date O65 first reported (obstructed labour due to maternal pelvic abnormality)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132255	Source of report of O65 (obstructed labour due to maternal pelvic abnormality)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132256	Date O66 first reported (other obstructed labour)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132257	Source of report of O66 (other obstructed labour)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132258	Date O67 first reported (labour and delivery complicated by intrapartum haemorrhage, not elsewhere classified)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132259	Source of report of O67 (labour and delivery complicated by intrapartum haemorrhage, not elsewhere classified)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132260	Date O68 first reported (labour and delivery complicated by foetal stress [distress])	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132261	Source of report of O68 (labour and delivery complicated by foetal stress [distress])	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132262	Date O69 first reported (labour and delivery complicated by umbilical cord complications)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132263	Source of report of O69 (labour and delivery complicated by umbilical cord complications)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132264	Date O70 first reported (perineal laceration during delivery)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132265	Source of report of O70 (perineal laceration during delivery)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132266	Date O71 first reported (other obstetric trauma)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132267	Source of report of O71 (other obstetric trauma)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132268	Date O72 first reported (postpartum haemorrhage)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132269	Source of report of O72 (postpartum haemorrhage)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132270	Date O73 first reported (retained placenta and membranes, without haemorrhage)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132271	Source of report of O73 (retained placenta and membranes, without haemorrhage)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132272	Date O74 first reported (complications of anaesthesia during labour and delivery)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132273	Source of report of O74 (complications of anaesthesia during labour and delivery)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132274	Date O75 first reported (other complications of labour and delivery, not elsewhere classified)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132275	Source of report of O75 (other complications of labour and delivery, not elsewhere classified)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132276	Date O80 first reported (single spontaneous delivery)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132277	Source of report of O80 (single spontaneous delivery)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132278	Date O81 first reported (single delivery by forceps and vacuum extractor)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132279	Source of report of O81 (single delivery by forceps and vacuum extractor)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132280	Date O82 first reported (single delivery by caesarean section)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132281	Source of report of O82 (single delivery by caesarean section)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132282	Date O83 first reported (other assisted single delivery)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132283	Source of report of O83 (other assisted single delivery)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132284	Date O84 first reported (multiple delivery)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132285	Source of report of O84 (multiple delivery)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132286	Date O85 first reported (puerperal sepsis)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132287	Source of report of O85 (puerperal sepsis)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132288	Date O86 first reported (other puerperal infections)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
